council_code,council_name,long,lat
S12000005,Clackmannanshire,-3.75344,56.14724
S12000006,Dumfries and Galloway,-4.02863,55.09622
S12000008,East Ayrshire,-4.29057,55.49674
S12000010,East Lothian,-2.72435,55.94207
S12000011,East Renfrewshire,-4.3606,55.74868
S12000013,Na h-Eileanan Siar,-6.65722,58.19938
S12000014,Falkirk,-3.7706,55.99604
S12000047,Fife,-2.98235,56.23117
S12000017,Highland,-4.66091,57.58669
S12000018,Inverclyde,-4.75387,55.90035
S12000019,Midlothian,-3.11738,55.82111
S12000020,Moray,-3.20187,57.47683
S12000021,North Ayrshire,-4.72479,55.72788
S12000023,Orkney Islands,-2.90028,58.94334
S12000048,Perth and Kinross,-3.8848,56.57529
S12000026,Scottish Borders,-2.85866,55.52594
S12000027,Shetland Islands,-1.37344,60.50495
S12000028,South Ayrshire,-4.72901,55.23007
S12000029,South Lanarkshire,-3.83272,55.60453
S12000030,Stirling,-4.32595,56.24953
S12000033,Aberdeen City,-2.20398,57.16697
S12000034,Aberdeenshire,-2.79205,57.23468
S12000035,Argyll and Bute,-5.22114,56.28943
S12000036,City of Edinburgh,-3.27826,55.91119
S12000038,Renfrewshire,-4.56834,55.84862
S12000039,West Dunbartonshire,-4.52074,56.00141
S12000040,West Lothian,-3.60909,55.8992
S12000041,Angus,-2.89189,56.7248
S12000042,Dundee City,-2.97095,56.4776
S12000050,North Lanarkshire,-3.9514,55.86814
S12000045,East Dunbartonshire,-4.22417,55.95829
S12000049,Glasgow City,-4.21479,55.87649
